strain,strain_intervals,g14_phi_1,g14_Phi,g14_phi_2,g72_phi_1,g72_Phi,g72_phi_2,g95_phi_1,g95_Phi,g95_phi_2,g101_phi_1,g101_Phi,g101_phi_2,g207_phi_1,g207_Phi,g207_phi_2,g240_phi_1,g240_Phi,g240_phi_2,g262_phi_1,g262_Phi,g262_phi_2,g287_phi_1,g287_Phi,g287_phi_2,stress,average_strain,average_stress
0.01,0.01,1.2794363672259534,2.226801270586608,4.225802497314724,0.13008579862374103,2.89068021484794,1.9709331895825386,1.7045519634712216,2.003049258896173,3.451159353955048,1.5986450946117319,2.4377850866566857,3.470809891397098,1.9795396396273193,1.895331071588195,3.8164017057909656,2.353071883415756,2.4107275395230605,3.755622268348668,1.3819520506188214,2.392902399467645,3.8464125835300473,2.1574499376109624,2.3812800199752067,3.7069030443782656,373.161237392533,0.01,373.161237392533
0.011,0.011,1.2797433196039827,2.2268745554389375,4.226128913710135,0.12976392499802133,2.890755039366394,1.9699897397859785,1.704985859131137,2.002694918014195,3.4508666575380422,1.5983013333772844,2.4380284721184995,3.4710863726694954,1.9797584948155904,1.8949018130032926,3.816060495463429,2.35346678298608,2.4105270909983747,3.7553977145125796,1.3828470197600407,2.393651896000074,3.8470091481482003,2.1576770491112764,2.3814266761977003,3.7063651585232327,372.78766811676553,0.011,372.78766811676553
0.012,0.012,1.2800319705202345,2.2269919247195507,4.226439673932998,0.12937598282666193,2.8908314766527328,1.9691253191871365,1.705445427822094,2.0023740998227737,3.4505876249020693,1.5980400801553514,2.4382649393393803,3.4713437431090677,1.9799656985423832,1.8945335385802715,3.815759724249041,2.3538443665649185,2.4103526313891686,3.755168425486944,1.3836765086809648,2.3943747928603236,3.8475835700850936,2.1578725003135366,2.381566039329764,3.7058604605485885,373.1177014871479,0.012,373.1177014871479
0.013000000000000001,0.013000000000000001,1.2802945623551976,2.2271077686649146,4.226732262324624,0.1289973739557896,2.8909077196090096,1.9682972632800866,1.705883952911161,2.0020820062782216,3.450326537855624,1.5977887020132162,2.4384846838878804,3.471579114683111,1.9801388592462608,1.8941982459058833,3.8154794719254244,2.3541922999078726,2.4101982433587046,3.7549548759899096,1.384442967796324,2.3950467786185357,3.848125652680294,2.1580598791605063,2.3817060747700647,3.7054080137349934,375.9420933614498,0.013000000000000001,375.9420933614498
0.014,0.014,1.2805294965784106,2.227218486057333,4.227022003990926,0.12855324087560754,2.8909882824828235,1.967431239037473,1.706289784289766,2.001812368161835,3.4500811774150777,1.5975630158901886,2.4386966652490294,3.4717904253692633,1.980294228934186,1.8938915332515465,3.815211748206546,2.354512924602001,2.4100605524175833,3.754750083063747,1.38517947902157,2.3956798241573902,3.8486492963648957,2.1582287924709402,2.3818422850240437,3.704978988048664,380.50532223523993,0.014,380.50532223523993
0.015,0.015,1.2807650519441371,2.2273396569702175,4.227308000263127,0.1283718457495024,2.8910692390665598,1.966677130474971,1.7066920591039412,2.0015707906072726,3.4498582317795647,1.5973225531581043,2.43891669692037,3.472004531742348,1.98042730952293,1.893593160635267,3.81498162628583,2.3548186079607456,2.4099519167060994,3.7545882666463797,1.38592798212664,2.3963109709937322,3.8491608424346975,2.158436182256086,2.3819795394751684,3.7046299534775704,384.92476928422235,0.015,384.92476928422235
0.016,0.016,1.2810132356532071,2.227339866476908,4.227608733499959,0.1271014814930596,2.8911421365389063,1.9653946836822005,1.7071448498985482,2.0011808765705132,3.449496150165309,1.596820104677315,2.4391587780579203,3.4722719240576096,1.980592066914568,1.8931117704418714,3.814581662078849,2.355127616966532,2.409712678462957,3.7543016805810288,1.3867279904900838,2.3969823243962733,3.8497153397524793,2.158514337313106,2.3821229779813935,3.7039920112297873,387.3001707231914,0.016,387.3001707231914
0.017,0.017,1.281249588625548,2.227311483876943,4.22794037298004,0.12573806902181284,2.891207798193547,1.9639548235054853,1.7076019470004766,2.000738508870862,3.449078334891345,1.596227743793041,2.439413048515124,3.4725653729065304,1.980753220000646,1.8925732809588331,3.8141143201412904,2.3554219800825034,2.4094089844086235,3.7539421091152496,1.3875874721050743,2.3977064819910483,3.8502850922267333,2.158521601512397,2.3822744094388724,3.7032056396435156,388.7628221976571,0.017,388.7628221976571
0.018000000000000002,0.018000000000000002,1.2815045945108605,2.227336613184858,4.228277300068697,0.124719787471805,2.8912736629415456,1.962688115805088,1.7080571872551389,2.000349934094683,3.4487074481774,1.595724878356014,2.4396790283670455,3.4728673967443853,1.9809255299153214,1.892091352021319,3.8136875881599663,2.3557389129881066,2.4091492026055334,3.7536136406239575,1.38848682567395,2.3984565626419827,3.8508482467036367,2.1585751965541586,2.382433156206451,3.702476858638236,390.6986847755563,0.018000000000000002,390.6986847755563
0.019,0.019,1.2817840883100322,2.227385490178589,4.22860721936505,0.12386086641653765,2.8913411656589654,1.9615137625582941,1.7085084299694357,1.9999802845165637,3.44836399163044,1.5952710078233374,2.4399481615826257,3.4731535639070756,1.9811001525450802,1.8916510939454476,3.8132966203427725,2.356053002991399,2.4089085675601347,3.753303234768363,1.3893813559535444,2.399199765099654,3.851420906426131,2.1586410816053387,2.3825905781894723,3.701793304013137,392.9078909434793,0.019,392.9078909434793
0.02,0.02,1.2820799460452985,2.227461536869126,4.228942068439565,0.12316487656310345,2.8914096549419486,1.9604069748239075,1.7089576454828261,1.9996442976102602,3.448042213670903,1.5948943951785162,2.4402163231538436,3.473444904296301,1.9812842786889528,1.8912574281455836,3.812936989317932,2.3563656917698927,2.4086833757229127,3.753014360246988,1.3902623443447313,2.3999274354037357,3.8519782715386754,2.158734330235042,2.382743781331888,3.70117137224925,395.2698151543012,0.02,395.2698151543012
0.021,0.021,1.2823505754715698,2.2275482996770344,4.229270923682721,0.12254920165543394,2.891478320388407,1.9593778112232991,1.7093941834754236,1.999313084210211,3.4477395250052236,1.594559289423279,2.4404679090127783,3.473726539690896,1.9814618420709296,1.8908955858529797,3.8125968232709386,2.3566805524684504,2.4084679501094377,3.7527429426514205,1.3911118998764789,2.4006517855556666,3.852505077626619,2.1588201934461786,2.3828919203502354,3.70058723452693,397.4398356275191,0.021,397.4398356275191
0.022,0.022,1.2826079109977293,2.227632107616287,4.229583618837992,0.1219947967976528,2.8915430412925875,1.9583952596631955,1.7098122847556878,1.9989966888680484,3.447449187667546,1.5942372631835262,2.440707452207687,3.47399471120053,1.981633109328882,1.890549560397317,3.8122704691679115,2.3569809527366354,2.4082617868580773,3.7524814097902413,1.3919240944546813,2.401346286907412,3.853007431592384,2.158899860008821,2.3830343390743183,3.700026609400095,399.51195899652504,0.022,399.51195899652504
0.023,0.023,1.2828561895015047,2.2277146399122736,4.229883291892066,0.12149712176279549,2.8916041479771,1.9574565351055806,1.7102156468575673,1.9986928233516021,3.4471712409991273,1.5939279880282478,2.4409371195592113,3.4742513992982818,1.9817991224258682,1.8902172043464516,3.8119577087303953,2.3572687884677954,2.4080638217997836,3.752229294319965,1.3927026009988859,2.4020151950877717,3.8534881222641126,2.158976273421973,2.3831719128387516,3.699487406427861,401.5079512120538,0.023,401.5079512120538
0.024,0.024,1.283144525811322,2.2278206769370272,4.230197223763461,0.12112091380343694,2.89166042085862,1.9565774083079812,1.7106417521449062,1.9983837040556756,3.446920274611096,1.5936398161180276,2.4411749518171497,3.4745096790367906,1.9819712519546964,1.889883661749573,3.8116705042345624,2.357555277548757,2.4078682294160942,3.7519880679604367,1.393458930201736,2.4026925505746077,3.8539589798467504,2.1590849685717437,2.383312852428284,3.6989618667420516,403.6426522088379,0.024,403.6426522088379
0.025,0.025,1.283423541904525,2.2279228129418964,4.230497788310775,0.12076311782634515,2.8917147493923046,1.9557325864707378,1.7110524443823516,1.9980872575014244,3.4466799339060326,1.593364846865965,2.4414033948044187,3.474757637198767,1.9821370067585582,1.8895642041367617,3.8113956221129532,2.357830431879511,2.4076811043676583,3.7517574206401765,1.3941835545129493,2.4033431665921765,3.854411390473285,2.1591897371892133,2.3834485139653543,3.6984574559373495,405.71865923469073,0.025,405.71865923469073
0.026000000000000002,0.026000000000000002,1.283712407402757,2.2280288643318102,4.230812025926978,0.12057509002165286,2.891776385656427,1.9549360347259677,1.7114598863496369,1.9977990693717675,3.4464414697510937,1.5930901550615202,2.441633685392527,3.4750083083642376,1.9822944365933661,1.8892598941284209,3.8111331519477045,2.3581066184395185,2.4074972003200834,3.7515352236531148,1.3949120277283422,2.404003673678755,3.8548751938227084,2.1593032557789273,2.383586157233993,3.6979690232294584,407.87654287358237,0.026000000000000002,407.87654287358237
