param_type,param_name,out_u_bound,in_l_bound,out_l_bound,in_u_bound,base
output,g147_phi_1,1,0.0006509536295950582,0,0.0804460946110488,10
output,g147_Phi,1,0.29287604930887784,0,0.3326202195656405,10
output,g147_phi_2,1,0.5445269131574867,0,0.553955807329781,10
output,g148_phi_1,1,-0.37608943123771243,0,-0.27206041577876866,10
output,g148_Phi,1,0.29622628726116057,0,0.3069180203772988,10
output,g148_phi_2,1,0.512724409221682,0,0.5175125930164411,10
output,g149_phi_1,1,0.2303978249040808,0,0.24816951330681028,10
output,g149_Phi,1,0.28912051806794814,0,0.30453361040651766,10
output,g149_phi_2,1,0.5339118029940452,0,0.5396029573606101,10
output,g150_phi_1,1,0.37770684136962396,0,0.39755766127042097,10
output,g150_Phi,1,0.31270614559789006,0,0.3237263671553517,10
output,g150_phi_2,1,0.6124553635191139,0,0.6228768783568696,10
output,g151_phi_1,1,0.31672498419049927,0,0.3355381324431508,10
output,g151_Phi,1,0.32868533698315094,0,0.3359991776081308,10
output,g151_phi_2,1,0.6950085983157529,0,0.6986137367711854,10
output,g152_phi_1,1,0.11048869983666935,0,0.12907732425273669,10
output,g152_Phi,1,0.23952470315666746,0,0.2477769306975662,10
output,g152_phi_2,1,0.5796121307403037,0,0.5829265459100414,10
output,g153_phi_1,1,-0.1658019054379258,0,-0.12257105921178024,10
output,g153_Phi,1,0.2953031446371515,0,0.3013772923493447,10
output,g153_phi_2,1,0.4399797052236391,0,0.4445912256429572,10
output,g154_phi_1,1,0.32459108576092643,0,0.3350966742615418,10
output,g154_Phi,1,0.32984516551086834,0,0.33665982345441997,10
output,g154_phi_2,1,0.6960504398077496,0,0.6997336907770599,10
output,g155_phi_1,1,0.347193361847937,0,0.36543182249042006,10
output,g155_Phi,1,0.3390736296411141,0,0.350306178879111,10
output,g155_phi_2,1,0.6491108374217809,0,0.6551288264200963,10
output,g156_phi_1,1,0.18627810344536733,0,0.20158828107351862,10
output,g156_Phi,1,0.3592471744896942,0,0.38203506271893034,10
output,g156_phi_2,1,0.5975525910976879,0,0.602038276060981,10
output,g157_phi_1,1,0.6045500325712613,0,0.6279595327074861,10
output,g157_Phi,1,0.467548913204926,0,0.4786242053118079,10
output,g157_phi_2,1,-2.257251309055038,0,0.794592599357641,10
output,g158_phi_1,1,0.2757028494482101,0,0.2943559851451606,10
output,g158_Phi,1,0.36767267270543363,0,0.38754998739023333,10
output,g158_phi_2,1,0.6000358121146182,0,0.6026458934835006,10
output,g159_phi_1,1,-0.1322850878149993,0,-0.07589653538515392,10
output,g159_Phi,1,0.2930530234278318,0,0.30055200879288496,10
output,g159_phi_2,1,0.6139157830078625,0,0.6173254157805694,10
output,g161_phi_1,1,0.06647501375413124,0,0.0862530238171611,10
output,g161_Phi,1,0.4100513975504519,0,0.41820182317824794,10
output,g161_phi_2,1,0.6243749279641108,0,0.6301328207218148,10
output,g162_phi_1,1,0.5346352148262529,0,0.5498366997927007,10
output,g162_Phi,1,0.45004885548219037,0,0.4556517453313514,10
output,g162_phi_2,1,0.778975626989249,0,0.7890022077575664,10
output,g163_phi_1,1,0.18520206518789392,0,0.21858801648941728,10
output,g163_Phi,1,0.1974184075100184,0,0.20881743877459735,10
output,g163_phi_2,1,0.5138166729404819,0,0.5170110524558439,10
output,g164_phi_1,1,-0.5907941258104265,0,-0.47252477158779127,10
output,g164_Phi,1,0.36114208775333284,0,0.3736842129970154,10
output,g164_phi_2,1,0.5308525706072698,0,0.5350534821002711,10
output,g165_phi_1,1,0.6851503374378631,0,0.7154517736065418,10
output,g165_Phi,1,0.4699397747863419,0,0.4760341590784482,10
output,g165_phi_2,1,-0.1485276152028555,0,0.03290067873267614,10
output,g166_phi_1,1,-0.3409208843492713,0,-0.236676848793488,10
output,g166_Phi,1,0.44454441573953246,0,0.44838163685466037,10
output,g166_phi_2,1,0.507950273279053,0,0.5190006033396409,10
output,g167_phi_1,1,0.07605759576282589,0,0.11829780133277645,10
output,g167_Phi,1,0.3989637361255204,0,0.40346370134531745,10
