param_type,param_name,out_u_bound,in_l_bound,out_l_bound,base,in_u_bound
output,g19_Phi,1,0.4445288113171352,0,10,0.45429593073984975
output,g19_phi_2,1,0.554719269050214,0,10,0.5609701209764735
output,g20_phi_1,1,-0.0671813719937809,0,10,-0.016621823157782222
output,g20_Phi,1,0.32988580505442516,0,10,0.33731946585692785
output,g20_phi_2,1,0.4758309328314533,0,10,0.48141396125374486
output,g21_phi_1,1,0.390281408229663,0,10,0.4033779317228597
output,g21_Phi,1,0.3107145487181187,0,10,0.33144754287779676
output,g21_phi_2,1,0.6440937744581382,0,10,0.6562611517083408
output,g22_phi_1,1,0.16028841313128805,0,10,0.17078959044639153
output,g22_Phi,1,0.223807337592779,0,10,0.23032116891907847
output,g22_phi_2,1,0.5897597653381549,0,10,0.5916432806389674
output,g23_phi_1,1,-0.18159593699563295,0,10,-0.14660602254933422
output,g23_Phi,1,0.40913816115386376,0,10,0.42662510641824725
output,g23_phi_2,1,0.5854381681701801,0,10,0.5944698987383297
output,g24_phi_1,1,0.2866809693549302,0,10,0.31251585566338685
output,g24_Phi,1,0.24472232276999784,0,10,0.2628543454161932
output,g24_phi_2,1,0.5398536179250563,0,10,0.5486350598147515
output,g25_phi_1,1,0.022139570398391907,0,10,0.07177157941675559
output,g25_Phi,1,0.37799794786189966,0,10,0.38881141347352355
output,g25_phi_2,1,0.48474102923706575,0,10,0.5079907248196913
output,g26_phi_1,1,-0.6645621595652166,0,10,-0.4872889280368801
output,g26_Phi,1,0.35610237811339873,0,10,0.3619354924211464
output,g26_phi_2,1,0.5452328717469658,0,10,0.5531423965032077
output,g27_phi_1,1,0.22934902016770342,0,10,0.2613818372857462
output,g27_Phi,1,0.2149497606154471,0,10,0.22375545365724114
output,g27_phi_2,1,0.5284024379536174,0,10,0.5319002337275933
output,g28_phi_1,1,0.3037358890399061,0,10,0.33233744945302574
output,g28_Phi,1,0.4362262752705824,0,10,0.4514179729892613
output,g28_phi_2,1,0.6303058079004361,0,10,0.6488379597902625
output,g29_phi_1,1,0.2247143045303975,0,10,0.27000300010505945
output,g29_Phi,1,0.21787857802743296,0,10,0.22302842697225214
output,g29_phi_2,1,0.5279905891964337,0,10,0.5301484509929332
output,g30_phi_1,1,0.16467994075426,0,10,0.19501356287582824
output,g30_Phi,1,0.21449945371088117,0,10,0.22507656162639228
output,g30_phi_2,1,0.591621038213319,0,10,0.5990092398233435
output,g31_phi_1,1,-0.46460459859438624,0,10,-0.3977337677714706
output,g31_Phi,1,0.32839999237242395,0,10,0.33741932432967314
output,g31_phi_2,1,0.4956691966039019,0,10,0.5077344680722629
output,g32_phi_1,1,0.3082655332099329,0,10,0.3183346842261365
output,g32_Phi,1,0.37099393351474386,0,10,0.3813497710597408
output,g32_phi_2,1,0.641602991567553,0,10,0.6526523954003471
output,g33_phi_1,1,0.16235527355207907,0,10,0.18596689276784137
output,g33_Phi,1,0.22036963245139446,0,10,0.22819496996335104
