grain_id,phi_1,Phi,phi_2,volume
152,5.6356,2.8546,1.4012,597710.0
153,1.0071,2.1592,3.39,1741500.0
154,1.774,1.5032,4.0999,4275600.0
155,1.2734,2.0474,4.4233,1075500.0
156,2.0485,2.4613,3.4023,522510.0
157,1.3745,2.5295,3.1717,932310.0
158,2.0447,2.6076,4.2672,11638000.0
159,1.5597,1.5968,4.1946,2314200.0
160,0.81677,2.5398,3.6752,2433000.0
161,2.0556,1.8077,3.6054,1108200.0
162,1.4769,2.4973,3.487,1503000.0
163,1.9621,2.5998,4.4142,1351400.0
164,1.5769,2.5679,3.6729,2336800.0
165,3.7519,2.6572,0.18522,2251800.0
166,1.3438,2.5222,3.3317,373910.0
167,1.9845,2.6602,4.4268,1490800.0
168,1.9121,1.8295,3.6966,573560.0
169,1.801,1.479,4.0789,1311400.0
170,0.55559,2.881,3.5182,512880.0
171,1.9205,1.9633,3.5237,1559500.0
172,1.9486,2.9015,4.7808,1155500.0
173,1.6399,1.5908,4.1162,697160.0
174,1.1954,2.5181,3.2284,2913400.0
175,2.5019,2.4392,4.8167,3147100.0
176,1.4863,2.4775,3.4388,4090800.0
177,1.0837,2.5708,3.9983,2353600.0
178,1.9494,1.8759,3.621,5922800.0
179,2.2904,3.03,5.091,594640.0
180,1.88,1.9782,3.4592,1212200.0
181,1.4932,2.4003,4.2094,486660.0
182,1.1328,1.7615,4.1039,2764000.0
183,1.2947,2.6426,3.609,685680.0
184,1.7311,1.5321,4.0361,9924400.0
185,1.8381,1.9789,3.4211,1958400.0
186,2.9972,2.2734,4.7368,1338400.0
187,1.3174,1.9067,4.2634,1032100.0
188,1.9296,1.9077,3.6685,1514100.0
189,1.1431,2.5792,3.2946,509520.0
190,1.3077,2.5906,3.5098,2178100.0
191,0.42739,2.8871,3.424,1074500.0
192,1.9055,1.9922,3.4647,498550.0
194,1.359,2.4867,3.3614,2681000.0
195,1.3334,2.611,3.5313,10615000.0
196,0.97687,2.3117,3.1255,14946000.0
197,2.5243,1.9756,5.1098,1362200.0
198,1.9268,2.5175,4.0996,2095500.0
199,1.2587,2.4784,3.245,2429200.0
200,0.62576,1.8868,2.7468,1444100.0
201,1.0563,2.411,3.5156,404100.0
202,0.62182,2.8777,3.6113,1929700.0
203,1.5123,1.9939,4.4892,1658700.0
204,2.7774,2.6453,4.5579,711450.0
