start,end,weight
30,47,942.0
40,52,903.0
37,44,796.0
26,40,741.0
41,53,560.0
23,29,550.0
39,45,548.0
45,49,532.0
36,41,468.0
7,8,436.0
18,33,435.0
20,23,417.0
17,12,348.0
4,10,315.0
28,42,233.0
21,37,231.0
22,24,220.0
50,60,215.0
16,35,120.0
48,54,106.0
14,15,99.0
24,38,98.0
32,51,81.0
42,61,79.0
31,48,73.0
3,9,70.0
19,25,51.0
25,39,42.0
2,1,41.0
44,46,38.0
6,6,38.0
10,21,36.0
13,11,33.0
33,55,30.0
1,7,28.0
5,5,27.0
51,66,26.0
